date,entry_time,side,vol,entry,sl,risk_pts,exit_time,reason,pl,pips,be,trail,early,max_locked_R,log,config
2025-10-13,16:22:52,Buy,2.0,46077.09,46027.09,50.0,16:25:47,StopLoss,1.64,3.7,1,1,1,0.0,2025,vol1.4_be0.6_sl50_utc
2025-10-20,15:54:53,Buy,2.0,46561.89,46511.89,50.0,17:29:55,StopLoss,201.84,103.8,1,2,1,2.0,2025,vol1.4_be0.6_sl50_utc
2025-11-10,14:31:00,Buy,2.0,47241.29,47191.29,50.0,14:38:31,StopLoss,96.64,51.2,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-11-11,14:31:00,Buy,2.0,47485.09,47435.09,50.0,14:32:14,StopLoss,-106.36,-50.3,0,0,0,,2025,vol1.4_be0.6_sl50_utc
2025-11-12,14:31:00,Buy,2.0,48077.99,48027.99,50.0,14:39:30,StopLoss,401.64,203.7,1,4,1,4.0,2025,vol1.4_be0.6_sl50_utc
2025-11-20,14:31:00,Buy,2.0,46686.49,46636.49,50.0,14:31:23,StopLoss,98.64,52.2,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-11-25,14:31:00,Buy,2.0,46598.79,46548.79,50.0,14:36:51,StopLoss,302.64,154.2,1,3,1,3.0,2025,vol1.4_be0.6_sl50_utc
2025-11-26,14:31:21,Buy,2.0,47258.79,47208.79,50.0,14:38:04,StopLoss,102.64,54.2,1,1,1,1.0,2025,vol1.4_be0.6_sl50_utc
2025-11-28,15:55:54,Buy,2.0,47690.09,47640.09,50.0,16:23:18,StopLoss,2.64,4.2,1,1,1,0.0,2025,vol1.4_be0.6_sl50_utc
2025-12-03,15:33:52,Buy,2.0,47681.79,47631.79,50.0,15:37:25,StopLoss,-56.36,-25.3,0,0,1,,2025,vol1.4_be0.6_sl50_utc
2025-12-05,15:57:57,Buy,2.0,48001.69,47951.69,50.0,16:01:21,StopLoss,2.84,4.3,1,0,1,,2025,vol1.4_be0.6_sl50_utc
