date,reason,range_width,clock,dst,year
2025-07-02,no_breakout,173.6999999999971,dst_30,summer (EDT),2025
2025-07-03,vol_filter_rejected,153.5,dst_30,summer (EDT),2025
2025-07-04,vol_filter_rejected,100.0,dst_30,summer (EDT),2025
2025-07-07,no_breakout,159.0,dst_30,summer (EDT),2025
2025-07-08,no_breakout,114.29999999999563,dst_30,summer (EDT),2025
2025-07-09,vol_filter_rejected,184.0,dst_30,summer (EDT),2025
2025-07-10,vol_filter_rejected,135.79999999999563,dst_30,summer (EDT),2025
2025-07-11,no_breakout,140.29999999999563,dst_30,summer (EDT),2025
2025-07-14,vol_filter_rejected,161.5,dst_30,summer (EDT),2025
2025-07-15,no_breakout,139.0,dst_30,summer (EDT),2025
2025-07-16,no_breakout,241.8000000000029,dst_30,summer (EDT),2025
2025-07-17,vol_filter_rejected,141.0,dst_30,summer (EDT),2025
2025-07-18,no_breakout,110.5,dst_30,summer (EDT),2025
2025-07-21,vol_filter_rejected,86.5,dst_30,summer (EDT),2025
2025-07-22,vol_filter_rejected,153.0,dst_30,summer (EDT),2025
2025-07-24,no_breakout,263.5,dst_30,summer (EDT),2025
2025-07-25,vol_filter_rejected,65.0,dst_30,summer (EDT),2025
2025-07-28,no_breakout,166.1999999999971,dst_30,summer (EDT),2025
2025-07-29,no_breakout,158.0,dst_30,summer (EDT),2025
2025-07-30,vol_filter_rejected,91.5,dst_30,summer (EDT),2025
2025-07-31,no_breakout,180.5,dst_30,summer (EDT),2025
2025-08-01,no_breakout,247.20000000000437,dst_30,summer (EDT),2025
2025-08-04,vol_filter_rejected,140.0,dst_30,summer (EDT),2025
2025-08-05,no_breakout,176.0,dst_30,summer (EDT),2025
2025-08-06,no_breakout,150.0,dst_30,summer (EDT),2025
2025-08-07,no_breakout,217.5,dst_30,summer (EDT),2025
2025-08-08,vol_filter_rejected,101.5,dst_30,summer (EDT),2025
2025-08-11,no_breakout,103.0,dst_30,summer (EDT),2025
2025-08-12,vol_filter_rejected,321.1999999999971,dst_30,summer (EDT),2025
2025-08-13,vol_filter_rejected,136.0,dst_30,summer (EDT),2025
2025-08-14,no_breakout,250.0,dst_30,summer (EDT),2025
2025-08-15,no_breakout,144.8000000000029,dst_30,summer (EDT),2025
2025-08-18,vol_filter_rejected,156.0,dst_30,summer (EDT),2025
2025-08-19,vol_filter_rejected,262.5,dst_30,summer (EDT),2025
