date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2023-10-09,2023-10-09 13:35:00,150.89999999999418,33377.5,33326.0,SL,-1.0,0.23883495145636718,dst_open,summer (EDT),2023
2023-10-24,2023-10-24 13:35:00,171.0,33177.7,33126.2,SL,-1.0,0.0,dst_open,summer (EDT),2023
2023-10-30,2023-10-30 13:35:00,127.30000000000291,32672.0,32676.5,SL,0.08737864077669903,1.0543689320388208,dst_open,summer (EDT),2023
2023-11-02,2023-11-02 13:35:00,229.3000000000029,33547.3,33495.8,SL,-1.0,0.0,dst_open,summer (EDT),2023
2023-11-22,2023-11-22 14:35:00,109.20000000000437,35234.9,35209.15,SL,-0.5,0.5650485436892921,dst_open,winter (EST),2023
2023-11-23,2023-11-23 16:25:00,61.0,35331.5,35328.8,KILL,-0.0524271844659629,0.09126213592227359,dst_open,winter (EST),2023
2023-12-11,2023-12-11 14:35:00,59.0,36304.5,36253.0,SL,-1.0,0.04660194174760107,dst_open,winter (EST),2023
2023-12-21,2023-12-21 14:35:00,169.70000000000437,37414.1,37362.6,SL,-1.0,0.0,dst_open,winter (EST),2023
2023-12-22,2023-12-22 14:35:00,132.39999999999418,37500.9,37505.4,SL,0.08737864077669903,1.0427184466018853,dst_open,winter (EST),2023
2024-01-10,2024-01-10 14:35:00,84.79999999999563,37659.1,37607.6,SL,-1.0,0.2932038834951174,dst_open,winter (EST),2024
2024-01-22,2024-01-22 14:35:00,111.5,38062.6,38067.1,SL,0.08737864077669903,0.8233009708738147,dst_open,winter (EST),2024
2024-01-26,2024-01-26 14:35:00,164.5,38104.4,38108.9,SL,0.08737864077669903,0.6504854368932039,dst_open,winter (EST),2024
2024-01-29,2024-01-29 14:35:00,73.69999999999709,38146.4,38150.9,SL,0.08737864077669903,0.6213592233009708,dst_open,winter (EST),2024
2024-02-06,2024-02-06 14:35:00,127.19999999999709,38497.3,38501.8,SL,0.08737864077669903,1.1262135922330097,dst_open,winter (EST),2024
2024-02-07,2024-02-07 14:35:00,196.70000000000437,38683.4,38631.9,SL,-1.0,0.0,dst_open,winter (EST),2024
2024-02-12,2024-02-12 14:35:00,59.0,38692.9,38697.4,SL,0.08737864077669903,0.7281553398058253,dst_open,winter (EST),2024
2024-02-20,2024-02-20 14:35:00,128.79999999999563,38608.6,38613.1,SL,0.08737864077669903,0.6796116504854369,dst_open,winter (EST),2024
2024-02-26,2024-02-26 14:35:00,109.5,39217.2,39221.7,SL,0.08737864077669903,0.9902912621359223,dst_open,winter (EST),2024
2024-03-07,2024-03-07 14:35:00,338.8000000000029,38870.7,38819.2,SL,-1.0,0.4019417475729003,dst_open,winter (EST),2024
2024-03-19,2024-03-19 13:35:00,147.0,38862.2,39010.9,KILL,2.8873786407767836,3.3106796116504853,dst_open,summer (EDT),2024
2024-03-21,2024-03-21 13:35:00,98.0,39751.0,39755.5,SL,0.08737864077669903,0.7087378640776699,dst_open,summer (EDT),2024
2024-03-27,2024-03-27 13:35:00,101.69999999999709,39582.9,39557.15,SL,-0.5,0.588349514563022,dst_open,summer (EDT),2024
2024-04-15,2024-04-15 13:35:00,296.0,38339.8,38344.3,SL,0.08737864077669903,0.6407766990291263,dst_open,summer (EDT),2024
2024-04-19,2024-04-19 13:35:00,277.0,37886.5,37891.0,SL,0.08737864077669903,1.1553398058252426,dst_open,summer (EDT),2024
2024-04-29,2024-04-29 13:35:00,65.5,38353.5,38302.0,SL,-1.0,0.24271844660194175,dst_open,summer (EDT),2024
2024-05-01,2024-05-01 13:35:00,138.5,37888.4,37836.9,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-05-09,2024-05-09 13:40:00,76.80000000000291,39046.3,39245.8,KILL,3.8737864077669903,4.401941747572759,dst_open,summer (EDT),2024
2024-05-10,2024-05-10 13:35:00,82.5,39579.7,39528.2,SL,-1.0,0.09320388349520214,dst_open,summer (EDT),2024
2024-05-24,2024-05-24 13:35:00,74.30000000000291,39156.6,39105.1,SL,-1.0,0.07766990291262135,dst_open,summer (EDT),2024
2024-05-27,2024-05-27 14:50:00,43.5,39083.9,39089.9,KILL,0.11650485436893204,0.24271844660194175,dst_open,summer (EDT),2024
2024-05-31,2024-05-31 13:35:00,196.5,38265.6,38214.1,SL,-1.0,0.32038834951456313,dst_open,summer (EDT),2024
2024-06-04,2024-06-04 14:00:00,191.1999999999971,38620.2,38624.7,SL,0.08737864077669903,1.1650485436893203,dst_open,summer (EDT),2024
2024-06-18,2024-06-18 13:35:00,96.20000000000437,38905.1,38909.6,SL,0.08737864077669903,1.0388349514563107,dst_open,summer (EDT),2024
2024-06-27,2024-06-27 13:35:00,71.0,39137.1,39141.6,SL,0.08737864077669903,1.2815533980582525,dst_open,summer (EDT),2024
2024-06-28,2024-06-28 13:35:00,112.5,39347.2,39295.7,SL,-1.0,0.0,dst_open,summer (EDT),2024
2024-07-01,2024-07-01 13:35:00,94.0,39347.6,39399.1,SL,1.0,2.116504854368932,dst_open,summer (EDT),2024
