date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2024-07-17,SHORT,2024-07-17 10:00:00-04:00,19962.8,20002.8,19842.8,40,120.0,TP,19842.8,120.0,3.0,26,130,-22.5,122.3,258.2,2384,1.435,0.992,1.414,2403.7,2,2024-07-17,300.0,2024,2024-07,2024-W29,2024-07-15
2024-07-18,SHORT,2024-07-18 10:30:00-04:00,19770.7,19810.7,19650.7,40,120.0,SL,19810.7,-40.0,-1.0,4,20,-59.0,67.5,143.4,2382,1.263,1.012,0.969,2354.0,3,2024-07-18,-100.0,2024,2024-07,2024-W29,2024-07-15
2024-07-22,LONG,2024-07-22 10:25:00-04:00,19784.0,19744.0,19904.0,40,120.0,SL,19744.0,-40.0,-1.0,8,40,-63.0,57.8,200.2,2246,1.245,0.941,0.667,2386.7,0,2024-07-22,-100.0,2024,2024-07,2024-W30,2024-07-22
2024-07-23,LONG,2024-07-23 10:05:00-04:00,19847.8,19807.8,19967.8,40,120.0,SL,19807.8,-40.0,-1.0,6,30,-45.7,26.8,146.6,2300,1.396,0.973,1.212,2362.7,1,2024-07-23,-100.0,2024,2024-07,2024-W30,2024-07-22
2024-07-24,SHORT,2024-07-24 10:00:00-04:00,19328.0,19368.0,19208.0,40,120.0,TP,19208.0,120.0,3.0,16,80,-25.6,125.5,166.4,2466,1.492,1.013,1.524,2433.3,2,2024-07-24,300.0,2024,2024-07,2024-W30,2024-07-22
2024-07-25,SHORT,2024-07-25 10:00:00-04:00,18823.5,18863.5,18703.5,40,120.0,SL,18863.5,-40.0,-1.0,1,5,-45.6,72.6,212.5,2580,1.284,1.013,1.425,2547.3,3,2024-07-25,-100.0,2024,2024-07,2024-W30,2024-07-22
2024-07-26,SHORT,2024-07-26 10:05:00-04:00,18899.1,18939.1,18779.1,40,120.0,SL,18939.1,-40.0,-1.0,1,5,-65.2,1.5,171.1,2530,1.37,1.027,1.328,2464.7,4,2024-07-26,-100.0,2024,2024-07,2024-W30,2024-07-22
2024-07-30,SHORT,2024-07-30 10:25:00-04:00,19018.7,19058.7,18898.7,40,120.0,TP,18898.7,120.0,3.0,7,35,-11.5,155.5,107.3,2416,1.401,0.982,0.842,2461.3,1,2024-07-30,300.0,2024,2024-07,2024-W31,2024-07-29
2024-07-31,LONG,2024-07-31 10:00:00-04:00,19260.8,19220.8,19380.8,40,120.0,SL,19220.8,-40.0,-1.0,44,220,-61.5,108.9,210.8,2528,1.47,1.016,1.502,2488.3,2,2024-07-31,-100.0,2024,2024-07,2024-W31,2024-07-29
2024-08-01,SHORT,2024-08-01 10:20:00-04:00,19361.7,19401.7,19241.7,40,120.0,TP,19241.7,120.0,3.0,5,25,-9.6,174.0,186.2,2542,1.228,1.012,0.961,2511.7,3,2024-08-01,300.0,2024,2024-08,2024-W31,2024-07-29
2024-08-05,LONG,2024-08-05 10:00:00-04:00,17911.5,17871.5,18031.5,40,120.0,SL,17871.5,-40.0,-1.0,1,5,-132.2,35.4,625.0,2566,1.383,1.046,1.512,2453.3,0,2024-08-05,-100.0,2024,2024-08,2024-W32,2024-08-05
2024-08-07,LONG,2024-08-07 10:00:00-04:00,18365.0,18325.0,18485.0,40,120.0,SL,18325.0,-40.0,-1.0,3,15,-65.8,56.5,239.9,2490,1.55,0.978,1.424,2546.0,2,2024-08-07,-100.0,2024,2024-08,2024-W32,2024-08-05
2024-08-08,LONG,2024-08-08 10:00:00-04:00,18155.3,18115.3,18275.3,40,120.0,SL,18115.3,-40.0,-1.0,1,5,-43.7,18.7,372.4,2532,1.371,0.993,1.26,2549.0,3,2024-08-08,-100.0,2024,2024-08,2024-W32,2024-08-05
2024-08-12,SHORT,2024-08-12 10:00:00-04:00,18464.1,18504.1,18344.1,40,120.0,SL,18504.1,-40.0,-1.0,1,5,-65.4,7.7,89.3,2312,1.702,0.954,1.302,2422.3,0,2024-08-12,-100.0,2024,2024-08,2024-W33,2024-08-12
2024-08-13,LONG,2024-08-13 10:00:00-04:00,18805.8,18765.8,18925.8,40,120.0,SL,18765.8,-40.0,-1.0,3,15,-41.7,8.7,197.7,2348,1.325,1.003,1.355,2341.3,1,2024-08-13,-100.0,2024,2024-08,2024-W33,2024-08-12
2024-08-14,SHORT,2024-08-14 10:05:00-04:00,18919.9,18959.9,18799.9,40,120.0,SL,18959.9,-40.0,-1.0,10,50,-48.6,96.9,121.6,2314,1.216,0.951,0.89,2432.0,2,2024-08-14,-100.0,2024,2024-08,2024-W33,2024-08-12
