date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-10-19,SHORT,2023-10-19 10:05:00-04:00,33570.3,33645.3,33307.8,75,262.5,SL,33645.3,-75.0,-1.0,19,95,-81.5,87.1,90.7,2280,1.311,1.001,1.214,2277.3,3,2023-10-19,-100.0,2023,2023-10,2023-W42,2023-10-16
2023-10-20,SHORT,2023-10-20 10:10:00-04:00,33211.1,33286.1,32948.6,75,262.5,SL,33286.1,-75.0,-1.0,21,105,-78.6,39.1,96.5,2296,1.295,0.975,1.081,2354.0,4,2023-10-20,-100.0,2023,2023-10,2023-W42,2023-10-16
2023-10-23,LONG,2023-10-23 10:00:00-04:00,33045.7,32970.7,33308.2,75,262.5,SL,32970.7,-75.0,-1.0,64,320,-101.9,173.3,90.5,2342,1.412,0.98,1.396,2391.0,0,2023-10-23,-100.0,2023,2023-10,2023-W43,2023-10-23
2023-10-24,LONG,2023-10-24 10:00:00-04:00,33108.4,33033.4,33370.9,75,262.5,SL,33033.4,-75.0,-1.0,28,140,-93.3,147.0,64.8,2394,1.512,0.99,1.451,2417.0,1,2023-10-24,-100.0,2023,2023-10,2023-W43,2023-10-23
2023-10-25,SHORT,2023-10-25 10:00:00-04:00,32991.2,33066.2,32728.7,75,262.5,SL,33066.2,-75.0,-1.0,7,35,-88.0,27.1,63.3,2376,1.527,1.004,1.509,2367.7,2,2023-10-25,-100.0,2023,2023-10,2023-W43,2023-10-23
2023-10-27,SHORT,2023-10-27 10:15:00-04:00,32652.7,32727.7,32390.2,75,262.5,TP,32390.2,262.5,3.5,46,230,-68.5,281.2,130.8,2356,1.254,1.004,1.02,2346.0,4,2023-10-27,350.0,2023,2023-10,2023-W43,2023-10-23
2023-10-30,LONG,2023-10-30 10:00:00-04:00,32663.1,32588.1,32925.6,75,262.5,TP,32925.6,262.5,3.5,54,270,-43.5,262.5,62.5,2460,1.626,1.022,1.589,2406.0,0,2023-10-30,350.0,2023,2023-10,2023-W44,2023-10-30
2023-10-31,SHORT,2023-10-31 10:00:00-04:00,32778.7,32853.7,32516.2,75,262.5,SL,32853.7,-75.0,-1.0,2,10,-129.6,3.7,119.0,2422,1.375,1.039,1.562,2331.3,1,2023-10-31,-100.0,2023,2023-10,2023-W44,2023-10-30
2023-11-01,LONG,2023-11-01 10:10:00-04:00,33139.6,33064.6,33402.1,75,262.5,SL,33064.6,-75.0,-1.0,29,145,-79.9,127.4,193.0,2382,1.247,1.023,1.125,2329.3,2,2023-11-01,-100.0,2023,2023-11,2023-W44,2023-10-30
2023-11-02,LONG,2023-11-02 10:00:00-04:00,33528.4,33453.4,33790.9,75,262.5,TP,33790.9,262.5,3.5,67,335,-45.5,266.3,129.1,2272,1.371,0.976,1.317,2327.0,3,2023-11-02,350.0,2023,2023-11,2023-W44,2023-10-30
