score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.379111,1.513589,2.517457,0.627451,0.016708,121.159069,51,2.5,18,8,19,1.0,4,50.0
5.376862,1.556928,2.471989,0.602273,0.017278,208.913811,88,2.5,18,11,19,1.0,3,30.0
5.376862,1.556928,2.471989,0.602273,0.017278,208.913811,88,2.5,18,11,19,1.0,4,30.0
5.37673,1.490977,2.568924,0.561404,0.012642,235.812855,57,2.0,16,11,19,0.5,2,30.0
5.376359,1.502161,2.524022,0.622642,0.019024,113.783242,53,2.5,18,10,19,1.0,2,50.0
5.376359,1.502161,2.524022,0.622642,0.019024,113.783242,53,2.5,18,10,20,1.0,2,50.0
5.374701,1.487213,2.567593,0.559322,0.017527,219.268683,59,1.5,10,11,18,0.5,2,30.0
5.373354,1.524481,2.506833,0.584906,0.017993,306.595084,106,2.0,16,12,18,1.0,2,50.0
5.372881,1.462902,2.592764,0.553571,0.032425,190.000929,56,1.0,10,9,26,0.5,3,30.0
5.372881,1.462902,2.592764,0.553571,0.032425,190.000929,56,1.0,10,9,26,0.5,4,30.0
5.372148,1.465207,2.585571,0.557692,0.02748,215.593765,52,1.0,12,9,26,0.5,2,30.0
5.368324,1.46844,2.55442,0.586957,0.013411,191.896621,46,2.0,16,8,26,0.5,2,30.0
5.36731,1.518226,2.489562,0.59375,0.012791,207.532603,64,2.5,14,10,21,1.0,3,50.0
5.36731,1.518226,2.489562,0.59375,0.012791,207.532603,64,2.5,14,10,21,1.0,4,50.0
5.36731,1.518226,2.489562,0.59375,0.012791,207.532603,64,2.5,14,10,22,1.0,3,50.0
5.36731,1.518226,2.489562,0.59375,0.012791,207.532603,64,2.5,14,10,22,1.0,4,50.0
5.364886,1.485713,2.537217,0.55814,0.017581,123.039256,43,2.0,10,8,19,0.5,2,30.0
